abbreviation	name	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
rxn06777	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	[c] : cpd00003 + cpd03115 <==> cpd00004 + cpd00067 + cpd12689	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
rxn03244	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	[c] : cpd00003 + cpd03118 <==> cpd00004 + cpd00067 + cpd03119	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
rxn03249	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	[c] : cpd00003 + cpd03122 <==> cpd00004 + cpd00067 + cpd03123	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
rxn03246	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	[c] : cpd00003 + cpd03120 <==> cpd00004 + cpd00067 + cpd03121	Reversible	cytosol	-1000	1000	0	(G_PA14_42080 or G_PA14_25080 or G_PA14_17860 or G_PA14_43460 or G_PA14_68530)	
rxn02122	Aldehyde dehydrogenase  D Glucuronolactone  NADH	[c] : cpd00003 + (2) cpd00001 + cpd01735 <==> cpd00004 + (3) cpd00067 + cpd00609	Reversible	cytosol	-1000	1000	0	(G_PA14_38840 or G_PA14_70140 or G_PA14_51050 or G_PA14_64740)	
rxn01387	IsocitrateNADP+ oxidoreductase (decarboxylating)	[c] : cpd00006 + cpd00260 <==> cpd00067 + cpd00005 + cpd03187	Reversible	cytosol	-1000	1000	0	(G_PA14_30180 or G_PA14_30190)	
rxn00616	G3PD	[c] : cpd00015 + cpd00080 <==> cpd00982 + cpd00095	Reversible	cytosol	-1000	1000	0	(G_PA14_17930 or G_PA14_24950)	
rxn00501	MMSAD3	[c] : cpd00003 + cpd00010 + cpd00191 <==> cpd00004 + cpd00011 + cpd00022	Reversible	cytosol	-1000	1000	0	(G_PA14_01600 or G_PA14_54620 or G_PA14_18120)	
rxn10125	NAD(P) transhydrogenase	cpd00004[c] + cpd00006[c] + (2) cpd00067[e] <==> cpd00003[c] + (2) cpd00067[c] + cpd00005[c]	Reversible	cytosol, extracellular	-1000	1000	0	(G_PA14_02450 and G_PA14_02470)	
rxn01851	Aminobutyraldehyde dehydrogenase	[c] : cpd00003 + cpd00001 + cpd00434 --> cpd00004 + (2) cpd00067 + cpd00281	Irreversible	cytosol	0	1000	0	(G_PA14_02680 or G_PA14_70140)	
rxn13812	L-aspartate oxidase	[c] : cpd00015 + cpd00095 + cpd00041 --> cpd00982 + cpd00067 + (2) cpd00001 + cpd00009 + cpd02333	Irreversible	cytosol	0	1000	0	(G_PA14_51330 and G_PA14_54450)	
rxn01297	Hypoxanthine dehydrogenase	[c] : cpd00003 + cpd00001 + cpd00226 <==> cpd00004 + cpd00067 + cpd00309	Reversible	cytosol	-1000	1000	0	(G_PA14_44740 and G_PA14_44710 and G_PA14_44760)	
rxn01522	Xanthine dehydrogenase	[c] : cpd00003 + cpd00001 + cpd00309 --> cpd00004 + cpd00067 + cpd00300	Irreversible	cytosol	0	1000	0	(G_PA14_44740 and G_PA14_44710 and G_PA14_44760)	
rxn00288	FRD	[c] : cpd00015 + cpd00036 --> cpd00982 + cpd00106	Irreversible	cytosol	0	1000	0	(G_PA14_44060 and G_PA14_44050 and G_PA14_44030 and G_PA14_44020)	
rxn10126	Succinate dehyrdogenase	[c] : cpd00982 + cpd15560 --> cpd00015 + cpd15561	Irreversible	cytosol	0	1000	0	(G_PA14_44030 and G_PA14_44020 and G_PA14_44060 and G_PA14_44050)	
rJB00270	succinate dehydrogenase	[c] : cpd00982 + cpd01351 --> cpd00015 + cJB00125	Irreversible	cytosol	0	1000	0	(G_PA14_44030 and G_PA14_44020 and G_PA14_44060 and G_PA14_44050)	
rxn06493	Glycine-cleavage complex	[c] : cpd00003 + cpd12225 <==> cpd00004 + cpd00067 + cpd12005	Reversible	cytosol	-1000	1000	0	((G_PA14_43970 and G_PA14_35490) or G_PA14_63850)	
rxn13808	Nitrite reductase (NADH)	[c] : (3) cpd00004 + (4) cpd00067 + cpd00075 <==> (3) cpd00003 + cpd00001 + cpd00985	Reversible	cytosol	-1000	1000	0	(G_PA14_41530 and G_PA14_41540)	
rxn00623	Sulfite reductase  NADPH2	[c] : (3) cpd00001 + (3) cpd00006 + cpd00239 <==> (4) cpd00067 + (3) cpd00005 + cpd00081	Reversible	cytosol	-1000	1000	0	(G_PA14_40770 or G_PA14_26485 or G_PA14_10550)	
rxn00506	Aldehyde dehydrogenase (acetaldehyde, NAD)	[c] : cpd00003 + cpd00001 + cpd00071 --> cpd00004 + (2) cpd00067 + cpd00029	Irreversible	cytosol	0	1000	0	(G_PA14_38840 or G_PA14_11810 or G_PA14_02680 or G_PA14_70140)	
rxn00779	glyceraldehyde-3-phosphate dehydrogenase (NADP)	[c] : cpd00001 + cpd00006 + cpd00102 --> (2) cpd00067 + cpd00005 + cpd00169	Irreversible	cytosol	0	1000	0	(G_PA14_34600 or G_PA14_25250)	
rxn13726	NADH dehydrogenase (ubiquinone-8 & 5 protons)	cpd00004[c] + (5) cpd00067[c] + cpd15560[c] --> cpd00003[c] + cpd15561[c] + (4) cpd00067[p]	Irreversible	cytosol, periplasm	0	1000	0	(G_PA14_30020 and G_PA14_30010 and G_PA14_29990 and G_PA14_29980 and G_PA14_29970 and G_PA14_29940 and G_PA14_29930 and G_PA14_29920 and G_PA14_29900 and G_PA14_29890 and G_PA14_29880 and G_PA14_29860 and G_PA14_29850)	
rJB00264	NADH dehydrogenase (ubiquinone-9 & 5 protons)	cpd00004[c] + (5) cpd00067[c] + cpd01351[c] --> cpd00003[c] + cJB00125[c] + (4) cpd00067[p]	Irreversible	cytosol, periplasm	0	1000	0	(G_PA14_30020 and G_PA14_30010 and G_PA14_29990 and G_PA14_29980 and G_PA14_29970 and G_PA14_29940 and G_PA14_29930 and G_PA14_29920 and G_PA14_29900 and G_PA14_29890 and G_PA14_29880 and G_PA14_29860 and G_PA14_29850)	
rxn10122	NADH dehydrogenase (ubiquinone-8 & 3.5 protons)	cpd00004[c] + (4.5) cpd00067[c] + cpd15560[c] --> cpd00003[c] + (3.5) cpd00067[e] + cpd15561[c]	Irreversible	cytosol, extracellular	0	0	0	(G_PA14_29850 and G_PA14_29860 and G_PA14_29880 and G_PA14_29890 and G_PA14_29900 and G_PA14_29920 and G_PA14_29930 and G_PA14_29940 and G_PA14_29970 and G_PA14_29980 and G_PA14_29990 and G_PA14_30010 and G_PA14_30020)	
rxn00604	Glucose 6-phosphate dehydrogenase	[c] : cpd00006 + cpd00079 <==> cpd00067 + cpd00005 + cpd00911	Reversible	cytosol	-1000	1000	0	(G_PA14_23070 or G_PA14_71800)	
rxn10902	glucose 6-phosphate dehydrogenase (NAD+)	[c] : cpd00003 + cpd00079 <==> cpd00004 + cpd00067 + cpd00911	Reversible	cytosol	-1000	1000	0	(G_PA14_23070 or G_PA14_71800)	
rxn00671	MMSAD1	[c] : cpd00003 + cpd00010 + cpd00287 <==> cpd00004 + cpd00011 + cpd00086	Reversible	cytosol	-1000	1000	0	(G_PA14_18120 or G_PA14_01600 or G_PA14_54620)	
rxn01115	Phosphogluconate dehydrogenase	[c] : cpd00006 + cpd00284 --> cpd00005 + cpd00011 + cpd00171	Irreversible	cytosol	0	0	0	G_PA14_54670	
rxn00338	L-aspartate oxidase	[c] : cpd00041 + cpd00007 --> cpd00067 + cpd00025 + cpd03470	Irreversible	cytosol	0	1000	0	G_PA14_54450	
rxn00248	Malate dehydrogenase	[c] : cpd00003 + cpd00130 <==> cpd00004 + cpd00067 + cpd00032	Reversible	cytosol	-1000	1000	0	G_PA14_48020	
rxn05353	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)	[c] : cpd00067 + cpd00005 + cpd11465 --> cpd00006 + cpd11464	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05356	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)	[c] : cpd00067 + cpd00005 + cpd11475 --> cpd00006 + cpd11474	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05355	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0)	[c] : cpd00067 + cpd00005 + cpd11469 --> cpd00006 + cpd11468	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05354	Hexadecanoyl-[acyl-carrier proteinmalonyl-CoA	[c] : cpd00067 + cpd00005 + cpd11477 --> cpd00006 + cpd11476	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05357	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)	[c] : cpd00067 + cpd00005 + cpd11473 --> cpd00006 + cpd11472	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05352	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)	[c] : cpd00067 + cpd00005 + cpd11471 --> cpd00006 + cpd11470	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05351	Tetradecanoyl-[acyl-carrier protein]malonyl-CoA	[c] : cpd00067 + cpd00005 + cpd11467 --> cpd00006 + cpd11466	Irreversible	cytosol	0	1000	0	G_PA14_45430	
rxn05338	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11482 <==> cpd00067 + cpd00005 + cpd11487	Reversible	cytosol	-1000	1000	0	G_PA14_43680	
rxn00611	G3PD1	[c] : cpd00004 + cpd00067 + cpd00095 --> cpd00003 + cpd00080	Irreversible	cytosol	0	1000	0	G_PA14_43640	
rxn00612	Glycerol-3-phosphate dehydrogenase (NADP)	[c] : cpd00067 + cpd00005 + cpd00095 --> cpd00006 + cpd00080	Irreversible	cytosol	0	1000	0	G_PA14_43640	
rxn05436	10-methyl-trans-dodec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11510 --> cpd00003 + cpd11511	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05448	10-methyl-trans-undec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11560 --> cpd00003 + cpd11561	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05442	11-methyl-trans-dodec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11535 --> cpd00003 + cpd11536	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05437	12-methyl-trans-tetra-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11514 --> cpd00003 + cpd11515	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05449	12-methyl-trans-tridec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11564 --> cpd00003 + cpd11565	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05443	13-methyl-trans-tetra-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11539 --> cpd00003 + cpd11540	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05438	14-methyl-trans-hexa-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11518 --> cpd00003 + cpd11519	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05450	14-methyl-trans-pentadec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11568 --> cpd00003 + cpd11569	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05444	15-methyl-trans-hexa-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11543 --> cpd00003 + cpd11544	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05433	4-methyl-trans-hex-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11498 --> cpd00003 + cpd11499	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05445	4-methyl-trans-pent-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11548 --> cpd00003 + cpd11549	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05439	5-methyl-trans-hex-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11523 --> cpd00003 + cpd11524	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05446	6-methyl-trans-hept-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11552 --> cpd00003 + cpd11553	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05434	6-methyl-trans-oct-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11502 --> cpd00003 + cpd11503	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05440	7-methyl-trans-oct-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11527 --> cpd00003 + cpd11528	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05435	8-methyl-trans-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11506 --> cpd00003 + cpd11507	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05447	8-methyl-trans-non-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11556 --> cpd00003 + cpd11557	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05441	9-methyl-trans-dec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11531 --> cpd00003 + cpd11532	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05322	Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase	[c] : cpd00004 + cpd00067 + cpd11465 --> cpd00003 + cpd11464	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05327	Decanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	[c] : cpd00004 + cpd00067 + cpd11475 --> cpd00003 + cpd11474	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05324	Dodecanoyl-[acyl-carrier protein]: malonyl-CoA  C-acyltransferase	[c] : cpd00004 + cpd00067 + cpd11469 --> cpd00003 + cpd11468	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn13838	Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	[c] : cpd00004 + cpd00067 + cpd15239 --> cpd00003 + cpd15277	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05328	Hexadecanoyl-[acyl-carrier protein]malonyl-CoA	[c] : cpd00004 + cpd00067 + cpd11477 --> cpd00003 + cpd11476	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05326	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)	[c] : cpd00004 + cpd00067 + cpd11473 --> cpd00003 + cpd11472	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn13850	Myristoyl-[acyl-carrier protein] synthase	[c] : cpd00004 + cpd00067 + cpd15294 --> cpd00003 + cpd11466	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn08396	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0)	[c] : cpd00004 + cpd00067 + cpd15572 --> cpd00003 + cpd15268	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05325	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)	[c] : cpd00004 + cpd00067 + cpd11471 --> cpd00003 + cpd11470	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05323	Tetradecanoyl-[acyl-carrier protein]malonyl-CoA	[c] : cpd00004 + cpd00067 + cpd11467 --> cpd00003 + cpd11466	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn05464	trans-Octodec-2-enoyl-ACPNAD+ oxidoreductase (A-specific)	[c] : cpd00004 + cpd00067 + cpd11572 --> cpd00003 + cpd11573	Irreversible	cytosol	0	1000	0	G_PA14_41170	
rxn02866	MBCOAi	[c] : cpd00015 + cpd01882 --> cpd00982 + cpd01966	Irreversible	cytosol	0	1000	0	G_PA14_38440	
rxn05339	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11478 <==> cpd00067 + cpd00005 + cpd11488	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05337	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11479 <==> cpd00067 + cpd00005 + cpd11486	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn13844	(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd14938 <==> cpd00006 + cpd17051	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05341	(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11483 <==> cpd00067 + cpd00005 + cpd11490	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05336	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11481 <==> cpd00067 + cpd00005 + cpd11485	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05372	10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11508 <==> cpd00006 + cpd11509	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05422	10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11558 <==> cpd00006 + cpd11559	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05397	11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11533 <==> cpd00006 + cpd11534	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05376	12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11512 <==> cpd00006 + cpd11513	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05426	12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11562 <==> cpd00006 + cpd11563	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05401	13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11537 <==> cpd00006 + cpd11538	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05380	14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11516 <==> cpd00006 + cpd11517	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05430	14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11566 <==> cpd00006 + cpd11567	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05405	15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11541 <==> cpd00006 + cpd11542	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05461	3-Hydroxyoctodecanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11570 <==> cpd00006 + cpd11571	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn07993	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	[c] : cpd00067 + cpd00005 + cpd15376 <==> cpd00006 + cpd15370	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05340	3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11480 <==> cpd00067 + cpd00005 + cpd11489	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05342	3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	[c] : cpd00006 + cpd11484 <==> cpd00067 + cpd00005 + cpd11491	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05360	4-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11496 <==> cpd00006 + cpd11497	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05410	4-methyl-3-oxo-pentanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11546 <==> cpd00006 + cpd11547	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05385	5-methyl-3-oxo-hexanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11521 <==> cpd00006 + cpd11522	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05414	6-methyl-3-oxo-heptanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11550 <==> cpd00006 + cpd11551	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05364	6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11500 <==> cpd00006 + cpd11501	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05389	7-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11525 <==> cpd00006 + cpd11526	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05368	8-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11504 <==> cpd00006 + cpd11505	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05418	8-methyl-3-oxo-nonanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11554 <==> cpd00006 + cpd11555	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn05393	9-methyl-3-oxo-decanoyl-ACPNADP+ oxidoreductase	[c] : cpd00067 + cpd00005 + cpd11529 <==> cpd00006 + cpd11530	Reversible	cytosol	-1000	1000	0	G_PA14_25660	
rxn00083	NAD transhydrogenase	[c] : cpd00003 + cpd00005 <==> cpd00004 + cpd00006	Reversible	cytosol	-1000	1000	0	G_PA14_25390	
rxn11245	3-isopropylmalate dehydrogenase 2	[c] : cpd00003 + cpd02693 --> cpd00004 + cpd00011 + cpd00200	Irreversible	cytosol	0	1000	0	G_PA14_23790	
rxn00781	Glyceraldehyde-3-phosphate dehydrogenase	[c] : cpd00003 + cpd00009 + cpd00102 <==> cpd00004 + cpd00203	Reversible	cytosol	-1000	1000	0	G_PA14_22890	
rxn00199	OxalosuccinateNADP+ oxidoreductase (decarboxylating)	[c] : cpd00067 + cpd03187 <==> cpd00011 + cpd00024	Reversible	cytosol	-1000	1000	0	(G_PA14_30180 or G_PA14_30190)	
rxn08398	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	[c] : cpd00004 + cpd00067 + cpd15568 --> cpd00003 + cpd11825	Irreversible	cytosol	0	1000	0	(G_PA14_40890 or G_PA14_43180)	
rxn03532	precorrin-3B synthase	[c] : cpd00004 + cpd00067 + cpd00007 + cpd03420 <==> cpd00003 + cpd00001 + cpd03833	Reversible	cytosol	-1000	1000	0	(G_PA14_40770 or G_PA14_26485 or G_PA14_10550)	
rxn13839	hydrogenobyrinic acid a,c-diamide cobaltochelatase	[c] : cpd00004 + cpd00001 + cpd00002 + cpd00149 + cpd03913 <==> cpd00003 + (6) cpd00067 + cpd00009 + cpd00008 + cpd03914	Reversible	cytosol	-1000	1000	0	(G_PA14_39640 or G_PA14_25970)	
rxn13790	2-dehydro-D-gluconate reductase extracellular (NADPH) (irreversible)	cpd00015[c] + cpd00222[e] --> cpd00982[c] + cpd00480[e]	Irreversible	cytosol, extracellular	0	1000	0	(G_PA14_35300 and G_PA14_35290 and G_PA14_35270)	
rxn03897	BZ12DOX	[c] : cpd00004 + cpd00067 + cpd00007 + cpd00153 --> cpd00003 + cpd03762	Irreversible	cytosol	0	1000	0	(G_PA14_32080 and G_PA14_32100 and G_PA14_32110)	
rxn05289	Thioredoxin reductase (NADPH)	[c] : cpd00067 + cpd00005 + cpd11420 <==> cpd00006 + cpd11421	Reversible	cytosol	-1000	1000	0	(G_PA14_30280 or G_PA14_53290)	
rxn02842	DGC3D	[c] : cpd00003 + cpd01795 <==> cpd00004 + cpd00067 + cpd02441	Reversible	cytosol	-1000	1000	0	(G_PA14_26650 or G_PA14_10890 or G_PA14_11130 or G_PA14_20270)	
