id	name	subsystem
rxn10215	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10218	anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10214	isoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10219	isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10217	isopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10216	isotetradecanoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10212	myristoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10211	palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10213	stearoyl-1-acylglycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10221	anteisoheptadecanoyl-phosphatidate cytidylyltransferase	Glycerolipid metabolism
rxn10224	anteisopentadecanoyl-phosphatidate cytidylyltransferase	Glycerolipid metabolism
rxn08306	CDP-diacylglycerol synthetase (n-C12:0)	Glycerolipid metabolism
rxn08307	CDP-diacylglycerol synthetase (n-C14:0)	Glycerolipid metabolism
rxn08308	CDP-diacylglycerol synthetase (n-C14:1)	Glycerolipid metabolism
rxn08310	CDP-diacylglycerol synthetase (n-C16:1)	Glycerolipid metabolism
rxn08311	CDP-diacylglycerol synthetase (n-C18:0)	Glycerolipid metabolism
rxn08312	CDP-diacylglycerol synthetase (n-C18:1)	Glycerolipid metabolism
rxn10220	isoheptadecanoyl-phosphatidate cytidylyltransferase	Glycerolipid metabolism
rxn10225	isohexadecanoyl-phosphatidate cytidylyltransferase	Glycerolipid metabolism
rxn10223	isopentadecanoyl-phosphatidate cytidylyltransferase	Glycerolipid metabolism
rxn10222	isotetradecanoyl-phosphatidate cytidylyltransferase	Glycerolipid metabolism
rxn10338	anteisoheptadecanoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10341	anteisopentadecanoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10337	isoheptadecanoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10342	isohexadecanoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10340	isopentadecanoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10339	isotetradecanoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10335	myristoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10334	palmitoyl-cardiolipin synthase	Glycerolipid metabolism
rxn10336	stearoyl-cardiolipin synthase	Glycerolipid metabolism
rxn13785	1,2-diacyl-sn-glycerol 3-phosphate synthesis	Glycerolipid metabolism
rxn08550	Glycerol-3-phosphate acyltransferase (C16:1)	Glycerolipid metabolism
rxn08552	Glycerol-3-phosphate acyltransferase (C18:1)	Glycerolipid metabolism
rxn00615	Glycerol kinase	Glycerolipid metabolism
rxn08309	CDP-diacylglycerol synthetase (n-C16:0)	Glycerolipid metabolism
rxn01102	Glycerate kinase	Glycerolipid metabolism
rxn10260	anteisoheptadecanoyl-CDPdiacylglycerolsn-glycerol-3-phosphate 3-phosphatidyltransferase	Glycerolipid metabolism
rxn10263	anteisopentadecanoyl-CDPdiacylglycerolsn-glycerol-3-phosphate 3-phosphatidyltransferase	Glycerolipid metabolism
rxn10259	isoheptadecanoyl-CDPdiacylglycerolsn-glycerol-3-phosphate 3-phosphatidyltransferase	Glycerolipid metabolism
rxn10264	isohexadecanoyl-CDPdiacylglycerolsn-glycerol-3-phosphate 3-phosphatidyltransferase	Glycerolipid metabolism
rxn10262	isopentadecanoyl-CDPdiacylglycerolsn-glycerol-3-phosphate 3-phosphatidyltransferase	Glycerolipid metabolism
rxn10261	isotetradecanoyl-CDPdiacylglycerolsn-glycerol-3-phosphate 3-phosphatidyltransferase	Glycerolipid metabolism
rxn10254	anteisoheptadecanoyl-Diacylglycerol kinase	Glycerolipid metabolism
rxn10257	anteisopentadecanoyl-Diacylglycerol kinase	Glycerolipid metabolism
rxn06139	Diacylglycerol kinase	Glycerolipid metabolism
rxn08294	Diacylglycerol kinase (n-C12:0)	Glycerolipid metabolism
rxn08295	Diacylglycerol kinase (n-C14:0)	Glycerolipid metabolism
rxn08296	Diacylglycerol kinase (n-C14:1)	Glycerolipid metabolism
rxn08297	Diacylglycerol kinase (n-C16:0)	Glycerolipid metabolism
rxn08298	Diacylglycerol kinase (n-C16:1)	Glycerolipid metabolism
rxn08299	Diacylglycerol kinase (n-C18:0)	Glycerolipid metabolism
rxn08300	Diacylglycerol kinase (n-C18:1)	Glycerolipid metabolism
rxn10253	isoheptadecanoyl-Diacylglycerol kinase	Glycerolipid metabolism
rxn10258	isohexadecanoyl-Diacylglycerol kinase	Glycerolipid metabolism
rxn10256	isopentadecanoyl-Diacylglycerol kinase	Glycerolipid metabolism
rxn10255	isotetradecanoyl-Diacylglycerol kinase	Glycerolipid metabolism
rxn10206	anteisoheptadecanoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10209	anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn08546	Glycerol-3-phosphate acyltransferase (C12:0)	Glycerolipid metabolism
rxn08547	Glycerol-3-phosphate acyltransferase (C14:0)	Glycerolipid metabolism
rxn08548	Glycerol-3-phosphate acyltransferase (C14:1)	Glycerolipid metabolism
rxn08549	Glycerol-3-phosphate acyltransferase (C16:0)	Glycerolipid metabolism
rxn08551	Glycerol-3-phosphate acyltransferase (C18:0)	Glycerolipid metabolism
rxn10205	isoheptadecanoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10210	isohexadecanoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10208	isopentadecanoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10207	isotetradecanoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10203	myristoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10202	palmitoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10204	stearoyl-glycerol-3-phosphate O-acyltransferase	Glycerolipid metabolism
rxn10266	anteisoheptadecanoyl-Phosphatidylglycerophosphate phosphohydrolase	Glycerolipid metabolism
rxn10269	anteisopentadecanoyl-Phosphatidylglycerophosphate phosphohydrolase	Glycerolipid metabolism
rxn10265	isoheptadecanoyl-Phosphatidylglycerophosphate phosphohydrolase	Glycerolipid metabolism
rxn10270	isohexadecanoyl-Phosphatidylglycerophosphate phosphohydrolase	Glycerolipid metabolism
rxn10268	isopentadecanoyl-Phosphatidylglycerophosphate phosphohydrolase	Glycerolipid metabolism
rxn10267	isotetradecanoyl-Phosphatidylglycerophosphate phosphohydrolase	Glycerolipid metabolism
rxn10227	anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	Glycerolipid metabolism
rxn10230	anteisopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	Glycerolipid metabolism
rxn10226	isoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	Glycerolipid metabolism
rxn10231	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	Glycerolipid metabolism
rxn10229	isopentadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	Glycerolipid metabolism
rxn10228	isotetradecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	Glycerolipid metabolism
rxn01643	Aspartate-semialdehyde dehydrogenase	Lysine biosynthesis
rxn01302	Homoserine dehydrogenase (NADPH)	Lysine biosynthesis
rxn02929	Dihydrodipicolinate reductase (NADPH)	Lysine biosynthesis
rxn01644	Dihydrodipicolinate synthase	Lysine biosynthesis
rxn00337	Aspartate kinase	Lysine biosynthesis
rxn01973	Succinyl-diaminopimelate desuccinylase	Lysine biosynthesis
rxn03087	Succinyldiaminopimelate transaminase	Lysine biosynthesis
rxn03031	Tetrahydrodipicolinate succinylase	Lysine biosynthesis
rxn03164	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase	Lysine biosynthesis
rxn00313	Diaminopimelate decarboxylase	Lysine biosynthesis
rxn01974	Diaminopimelate epimerase	Lysine biosynthesis
rJB00277	UDP-N-acetyl fucosamine synthase	Amino sugar and nucleotide sugar metabolism
rxn02285	UDP-N-acetylenolpyruvoylglucosamine reductase	Amino sugar and nucleotide sugar metabolism
rxn13913	UDP-N-acetyl-mannosamine (2NAc3N) acid acetylase	Amino sugar and nucleotide sugar metabolism
rxn00295	UDP N acetylglucosamine 4 epimerase	Amino sugar and nucleotide sugar metabolism
rxn01484	N-acetylglucosamine-6-phosphate deacetylase	Amino sugar and nucleotide sugar metabolism
rxn00461	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Amino sugar and nucleotide sugar metabolism
rxn01485	Phosphoglucosamine mutase	Amino sugar and nucleotide sugar metabolism
rxn03638	glucosamine-1-phosphate N-acetyltransferase	Amino sugar and nucleotide sugar metabolism
rxn00293	UDP-N-acetylglucosamine diphosphorylase	Amino sugar and nucleotide sugar metabolism
rxn07099	Beta lactamase	Penicillin and cephalosporin biosynthesis
rxn01867	Betaine-aldehyde dehydrogenase	Glycine, serine and threonine metabolism
rxn10062	choline dehydrogenase (FAD-dependent)	Glycine, serine and threonine metabolism
rxn01101	Phosphoglycerate dehydrogenase	Glycine, serine and threonine metabolism
rxn01011	Hydroxypyruvate reductase (NADH)	Glycine, serine and threonine metabolism
rxn01068	L-threonine dehydrogenase	Glycine, serine and threonine metabolism
rxn00269	Glycine oxidase	Glycine, serine and threonine metabolism
rxn13847	Threonine dehydrogenase	Glycine, serine and threonine metabolism
rxn06600	aminomethyltransferase	Glycine, serine and threonine metabolism
rxn00165	SER AL	Glycine, serine and threonine metabolism
rxn06377	Glycine-cleavage complex	Glycine, serine and threonine metabolism
rxn00692	Glycine hydroxymethyltransferase, reversible	Glycine, serine and threonine metabolism
rxn00433	Sarcosine oxidase	Glycine, serine and threonine metabolism
rxn01300	Homoserine kinase	Glycine, serine and threonine metabolism
rxn00541	THRA	Glycine, serine and threonine metabolism
rxn04786	DABAAT	Glycine, serine and threonine metabolism
rxn02028	BHMT	Glycine, serine and threonine metabolism
rxn02914	Phosphoserine transaminase	Glycine, serine and threonine metabolism
rxn00166	D-serine deaminase	Glycine, serine and threonine metabolism
rxn01069	Threonine synthase	Glycine, serine and threonine metabolism
rxn13816	CDPdiacylglycerol-serine O-phosphatidyltransferase reversible	Glycine, serine and threonine metabolism
rxn00420	Phosphoserine phosphatase (L-serine)	Glycine, serine and threonine metabolism
rxn03958	1-deoxy-D-xylulose reductoisomerase	Terpenoid biosynthesis
rxn05293	2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase	Terpenoid biosynthesis
rxn08352	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	Terpenoid biosynthesis
rxn08756	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	Terpenoid biosynthesis
rxn13826	dimethylallyltranstransferase	Terpenoid biosynthesis
rxn01466	Geranyltranstransferase	Terpenoid biosynthesis
rxn09037	Octaprenyl pyrophosphate synthase	Terpenoid biosynthesis
rxn05028	Solanesyl diphosphate synthase	Terpenoid biosynthesis
rxn00616	G3PD	Glycerophospholipid metabolism
rxn00611	G3PD1	Glycerophospholipid metabolism
rxn00612	Glycerol-3-phosphate dehydrogenase (NADP)	Glycerophospholipid metabolism
rxn08669	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	Glycerophospholipid metabolism
rPY00184	Cardiolipin synthase (n-C16:0 16:1)	Glycerophospholipid metabolism
rxn08229	Cardiolipin synthase (periplasmic, n-C16:0)	Glycerophospholipid metabolism
rxn08230	Cardiolipin synthase (periplasmic, n-C16:1)	Glycerophospholipid metabolism
rPY00183	Cardiolipin synthase (n-C18:0 18:1)	Glycerophospholipid metabolism
rxn08231	Cardiolipin synthase (periplasmic, n-C18:0)	Glycerophospholipid metabolism
rxn08232	Cardiolipin synthase (periplasmic, n-C18:1)	Glycerophospholipid metabolism
rxn00539	ethanolamine ammonia-lyase	Glycerophospholipid metabolism
rxn01073	Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)	Glycerophospholipid metabolism
rxn00758	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	Glycerophospholipid metabolism
rxn13817	cardiolipin synthetase	Glycerophospholipid metabolism
rxn13815	CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase reversible	Glycerophospholipid metabolism
rxn09108	Phosphatidylglycerol synthase (n-C12:0)	Glycerophospholipid metabolism
rxn09109	Phosphatidylglycerol synthase (n-C14:0)	Glycerophospholipid metabolism
